token_id,gender,background,body,body_type,body_style,body_color,face,face_type,face_style,face_color,hair,hair_type,hair_style,hair_color,type,type_type,type_color,repeated_color,image_original_url,metadata_original_url
1486,Male,Red,Tank Top White,Clothing,Tank Top,White,Gold Cubic Sunglasses,Glasses,Cubic Sunglasses,Gold,Rainbow Headband White Headphones,Headgear,Headphones,Rainbow White,Plastic Yellow,Plastic,Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1486.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1486
1487,Male,Red,Retro Windbreaker White,Clothing,Retro Windbreaker,White,Wink,Expression,Wink,No Color,Afro Purple,Hair,Afro,Purple,Gradient Cyan Blue Purple,Gradient,Cyan Blue Purple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1487.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1487
1488,Male,Gray,Leather Jacket Black,Clothing,Leather Jacket,Black,Laser Visor,Glasses,Laser Visor,Laser Visor,Middle Part Glass,Hair,Middle Part,Glass,Grayscale,Grayscale,Grayscale,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1488.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1488
1489,Male,Purple,Overalls Shirt Black,Clothing,Overalls Shirt,Black,Robo Visor Dots Full,Glasses,Robo Visor,Dots Full,Football Helmet Black,Headgear,Football Helmet,Black,Robot Ice,Robot,Ice,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1489.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1489
1490,Male,Gray,Suit Light Grey,Clothing,Suit,Light Grey,Meditation,Expression,Meditation,No Color,Bowl Cut Shiny Black,Hair,Bowl Cut,Shiny Black,Grayscale,Grayscale,Grayscale,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1490.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1490
1491,Male,Yellow,Suit Glass,Clothing,Suit,Glass,Stache Black,Facial Hair,Stache Black,Stache Black,Wide Brim Hat Glass,Headgear,Wide Brim Hat,Glass,Rainbow,Rainbow,Rainbow,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1491.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1491
1492,Male,Blue,Short Sleeve Button Up Bubble Dots Mint,Clothing,Short Sleeve Button Up,Bubble Dots Mint,Circle Glasses Gold,Glasses,Circle Glasses,Gold,Football Helmet Mint,Headgear,Football Helmet,Mint,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1492.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1492
1493,Male,Yellow,Hoodie White,Clothing,Hoodie,White,Eyepatch,Glasses,Eyepatch,Eyepatch,Manbun Lime,Hair,Manbun,Lime,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1493.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1493
1494,Male,Cream,Puffy Jacket Red,Clothing,Puffy Jacket,Red,Circle Glasses Gold,Glasses,Circle Glasses,Gold,Bowl Cut Shiny Yellow,Hair,Bowl Cut,Shiny Yellow,Plastic Red,Plastic,Red,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1494.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1494
1495,Male,Blue,Puffy Vest Pink,Clothing,Puffy Vest,Pink,Calm Smile,Expression,Calm Smile,No Color,Comb Over Red,Hair,Comb Over,Red,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1495.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1495
